date,region,product_usage
2025-01-01,North,82
2025-02-01,North,83
2025-03-01,North,84
2025-04-01,North,85
2025-05-01,North,86
2025-06-01,North,70
2025-07-01,North,84
2025-08-01,North,83
2025-09-01,North,82
2025-10-01,North,81
2025-11-01,North,80
2025-12-01,North,79
2025-01-01,South,80
2025-02-01,South,81
2025-03-01,South,82
2025-04-01,South,83
2025-05-01,South,84
2025-06-01,South,83
2025-07-01,South,82
2025-08-01,South,81
2025-09-01,South,80
2025-10-01,South,79
2025-11-01,South,78
2025-12-01,South,77
