date,region,renewal_rate
2025-01-01,North,91
2025-02-01,North,91
2025-03-01,North,92
2025-04-01,North,92
2025-05-01,North,93
2025-06-01,North,82
2025-07-01,North,91
2025-08-01,North,90
2025-09-01,North,89
2025-10-01,North,89
2025-11-01,North,88
2025-12-01,North,87
2025-01-01,South,90
2025-02-01,South,90
2025-03-01,South,91
2025-04-01,South,91
2025-05-01,South,92
2025-06-01,South,91
2025-07-01,South,90
2025-08-01,South,89
2025-09-01,South,88
2025-10-01,South,88
2025-11-01,South,87
2025-12-01,South,86
