date,region,revenue,orders,support_resolution_hours,product_usage,renewal_rate
2025-01-01,North,120000,1200,12,82,91
2025-02-01,North,122000,1210,12,83,91
2025-03-01,North,125000,1240,11,84,92
2025-04-01,North,127000,1260,11,85,92
2025-05-01,North,130000,1290,12,86,93
2025-06-01,North,100000,1270,18,70,82
2025-07-01,North,126000,1250,12,84,91
2025-08-01,North,124000,1230,12,83,90
2025-09-01,North,121000,1200,13,82,89
2025-10-01,North,119000,1180,13,81,89
2025-11-01,North,116000,1150,14,80,88
2025-12-01,North,113000,1120,14,79,87
2025-01-01,South,115000,1100,13,80,90
2025-02-01,South,117000,1120,13,81,90
2025-03-01,South,119000,1140,12,82,91
2025-04-01,South,121000,1160,12,83,91
2025-05-01,South,123000,1180,13,84,92
2025-06-01,South,122000,1170,13,83,91
2025-07-01,South,120000,1150,14,82,90
2025-08-01,South,118000,1130,14,81,89
2025-09-01,South,116000,1110,15,80,88
2025-10-01,South,114000,1090,15,79,88
2025-11-01,South,112000,1070,16,78,87
2025-12-01,South,110000,1050,16,77,86
