date,region,support_resolution_hours
2025-01-01,North,12
2025-02-01,North,12
2025-03-01,North,11
2025-04-01,North,11
2025-05-01,North,12
2025-06-01,North,18
2025-07-01,North,12
2025-08-01,North,12
2025-09-01,North,13
2025-10-01,North,13
2025-11-01,North,14
2025-12-01,North,14
2025-01-01,South,13
2025-02-01,South,13
2025-03-01,South,12
2025-04-01,South,12
2025-05-01,South,13
2025-06-01,South,13
2025-07-01,South,14
2025-08-01,South,14
2025-09-01,South,15
2025-10-01,South,15
2025-11-01,South,16
2025-12-01,South,16
